strategy,top_k,greedy_candidate_limit,force_iterations,polyline_lane_ratio,pair_count,coverage,crossings,node_intrusions,mean_imbalance,mean_net_flow,total_tree_length,mean_detour_ratio,max_detour_ratio,total_represented_flow,parameter_family,parameter_name,parameter_value
force_adjusted_curved_od,40,60,0,0.01,40.0,0.7430252795417901,27.0,4.0,1.0,6382.55,3330723.3118272806,1.0066158776639411,1.0066158776639418,343598.0,force_adjusted_curved_od,force_iterations,0.0
force_adjusted_curved_od,40,60,5,0.01,40.0,0.7430252795417901,19.0,5.0,1.0,6382.55,3429722.8572070845,1.0318012116361335,1.202848506895003,343598.0,force_adjusted_curved_od,force_iterations,5.0
force_adjusted_curved_od,40,60,10,0.01,40.0,0.7430252795417901,19.0,6.0,1.0,6382.55,3515211.9532670816,1.0555955948845146,1.283510534985743,343598.0,force_adjusted_curved_od,force_iterations,10.0
force_adjusted_curved_od,40,60,15,0.01,40.0,0.7430252795417901,17.0,6.0,1.0,6382.55,3585247.690937467,1.0723210190217773,1.3436157448648516,343598.0,force_adjusted_curved_od,force_iterations,15.0
quality_aware_force_adjusted_od,30,50,5,0.01,42.0,0.751302394076799,12.0,3.0,1.0,6146.333333333333,3325702.384126219,1.0183736602884503,1.1720882746799846,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,50.0
quality_aware_force_adjusted_od,30,60,5,0.01,46.0,0.7723735295316038,12.0,3.0,1.0,5769.260869565217,3747578.5911727487,1.0174138988406713,1.173231983345662,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,60.0
quality_aware_force_adjusted_od,30,70,5,0.01,48.0,0.7809038469374094,12.0,4.0,1.0,5589.9375,3879999.9378877413,1.0170002738844521,1.173231983345662,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,70.0
quality_aware_force_adjusted_od,40,50,5,0.01,44.0,0.7677081938777293,20.0,5.0,1.0,5995.068181818182,3725046.9201840134,1.0299353052721107,1.2054117204893404,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,50.0
quality_aware_force_adjusted_od,40,60,5,0.01,48.0,0.7887793293325339,23.0,5.0,1.0,5646.3125,4151191.6911172587,1.0286547925182243,1.2155009461612083,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,60.0
quality_aware_force_adjusted_od,40,70,5,0.01,50.0,0.7973096467383396,23.0,6.0,1.0,5479.08,4283598.47372713,1.0278048066928682,1.2155006140230171,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,70.0
quality_aware_force_adjusted_od,50,50,5,0.01,50.0,0.8034505439496156,47.0,9.0,1.0,5521.28,4693945.4899591,1.0631341940012724,1.3412234374794745,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,50.0
quality_aware_force_adjusted_od,50,60,5,0.01,54.0,0.8245216794044202,50.0,9.0,1.0,5246.37037037037,5125523.85523742,1.0602024122395486,1.3411945129933545,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,60.0
quality_aware_force_adjusted_od,50,70,5,0.01,55.0,0.8290705999452849,50.0,10.0,1.0,5179.4,5207550.508659496,1.0592281116109012,1.3411945129933545,343598.0,quality_aware_force_adjusted_od,greedy_candidate_limit,70.0
quality_aware_polyline_od,40,60,5,0.0,40.0,0.7430252795417901,5.0,3.0,1.0,6382.55,3905604.6889638035,1.1330873939202513,2.524865408898365,343598.0,quality_aware_polyline_od,polyline_lane_ratio,0.0
quality_aware_polyline_od,40,60,5,0.01,40.0,0.7430252795417901,8.0,1.0,1.0,6382.55,3638018.8550046487,1.0639660365100148,1.6507707590756453,343598.0,quality_aware_polyline_od,polyline_lane_ratio,0.01
quality_aware_polyline_od,40,60,5,0.02,40.0,0.7430252795417901,12.0,3.0,1.0,6382.55,3751763.2398264944,1.0907984428804118,2.6300418041319937,343598.0,quality_aware_polyline_od,polyline_lane_ratio,0.02
