strategy,top_k,source_order,spiral_turns,pair_count,coverage,crossings,node_intrusions,mean_imbalance,mean_net_flow,total_tree_length,mean_detour_ratio,max_detour_ratio,total_represented_flow
greedy_spiral_tree,40,descending_outflow,0.5,40.0,0.9257795447004931,103.0,6.0,0.16038205478987105,1060.5,5440998.390493502,1.4804573619129553,2.333997273605403,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,0.5,40.0,0.9257795447004931,94.0,15.0,0.16038205478987105,1060.5,5409811.551776626,1.4411696704894035,2.275526607854244,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,0.5,40.0,0.9257795447004931,79.0,16.0,0.16038205478987105,1060.5,5149968.8216355285,1.376763159053203,1.8530543433428743,343598.0
greedy_spiral_tree,40,descending_outflow,0.75,40.0,0.9257795447004931,103.0,6.0,0.16038205478987105,1060.5,5440998.390493502,1.4804573619129553,2.333997273605403,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,0.75,40.0,0.9257795447004931,94.0,15.0,0.16038205478987105,1060.5,5409811.551776626,1.4411696704894035,2.275526607854244,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,0.75,40.0,0.9257795447004931,79.0,16.0,0.16038205478987105,1060.5,5149968.8216355285,1.376763159053203,1.8530543433428743,343598.0
greedy_spiral_tree,40,descending_outflow,1.0,40.0,0.9257795447004931,87.0,5.0,0.16038205478987105,1060.5,4723295.432765439,1.2584761341320074,1.9547060585819227,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,1.0,40.0,0.9257795447004931,90.0,3.0,0.16038205478987105,1060.5,4856971.312756074,1.2881320061934503,1.7092187638486966,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,1.0,40.0,0.9257795447004931,74.0,6.0,0.16038205478987105,1060.5,4689615.317157967,1.2445558976300972,1.5552125294140176,343598.0
greedy_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,77.0,4.0,0.16038205478987105,1060.5,4550225.181805217,1.2037334653711391,1.7808821308930542,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,85.0,5.0,0.16038205478987105,1060.5,4622580.976099482,1.2171043066480522,1.535822876099363,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,74.0,6.0,0.16038205478987105,1060.5,4530936.867456978,1.1966824911356468,1.4720960443179116,343598.0
greedy_spiral_tree,40,descending_outflow,1.25,40.0,0.9257795447004931,76.0,4.0,0.16038205478987105,1060.5,4371452.472893506,1.1491213947445196,1.5874225960002444,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,1.25,40.0,0.9257795447004931,79.0,4.0,0.16038205478987105,1060.5,4438180.948133498,1.1661635691783798,1.4966121848147917,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,1.25,40.0,0.9257795447004931,73.0,5.0,0.16038205478987105,1060.5,4366015.736204561,1.1505478242441356,1.4196372308897973,343598.0
greedy_spiral_tree,40,descending_outflow,1.5,40.0,0.9257795447004931,73.0,4.0,0.16038205478987105,1060.5,4203600.650319564,1.098890942977248,1.408411918834752,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,1.5,40.0,0.9257795447004931,74.0,4.0,0.16038205478987105,1060.5,4244790.324259106,1.1118891856828572,1.368195852554956,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,1.5,40.0,0.9257795447004931,69.0,6.0,0.16038205478987105,1060.5,4219735.855281672,1.1097007006306407,1.3053561188826315,343598.0
