strategy,top_k,greedy_candidate_limit,force_iterations,polyline_lane_ratio,pair_count,coverage,crossings,node_intrusions,mean_imbalance,mean_net_flow,total_tree_length,mean_detour_ratio,max_detour_ratio,total_represented_flow
raw_directed,20,60,5,0.01,20.0,0.5224157300100699,3.0,1.0,1.0,8975.05,1354649.2046923372,1.0,1.0,343598.0
force_adjusted_curved_od,20,60,5,0.01,20.0,0.5224157300100699,3.0,2.0,1.0,8975.05,1366976.6132096867,1.009277731328164,1.0334283542481713,343598.0
quality_aware_force_adjusted_od,20,60,5,0.01,44.0,0.743514223016432,5.0,3.0,1.0,5806.136363636364,3482820.3328259913,1.0092005784061544,1.0523950929130936,343598.0
quality_aware_polyline_od,20,60,5,0.01,20.0,0.5224157300100699,0.0,0.0,1.0,8975.05,1432913.3526459252,1.032957679336906,1.6507707590756453,343598.0
raw_directed,40,60,5,0.01,40.0,0.7430252795417901,28.0,7.0,1.0,6382.55,3308832.480923018,1.0,1.0,343598.0
force_adjusted_curved_od,40,60,5,0.01,40.0,0.7430252795417901,19.0,5.0,1.0,6382.55,3429722.8572070845,1.0318012116361335,1.202848506895003,343598.0
quality_aware_force_adjusted_od,40,60,5,0.01,48.0,0.7887793293325339,23.0,5.0,1.0,5646.3125,4151191.6911172587,1.0286547925182243,1.2155009461612083,343598.0
quality_aware_polyline_od,40,60,5,0.01,40.0,0.7430252795417901,8.0,1.0,1.0,6382.55,3638018.8550046487,1.0639660365100148,1.6507707590756453,343598.0
raw_directed,60,60,5,0.01,60.0,0.8565882222830168,122.0,11.0,1.0,4905.366666666667,5601906.752647657,1.0,1.0,343598.0
force_adjusted_curved_od,60,60,5,0.01,60.0,0.8565882222830168,102.0,10.0,1.0,4905.366666666667,6294159.603367149,1.109851692460679,1.4615165193232769,343598.0
quality_aware_force_adjusted_od,60,60,5,0.01,60.0,0.8565882222830168,102.0,10.0,1.0,4905.366666666667,6294159.603367149,1.109851692460679,1.4615165193232769,343598.0
quality_aware_polyline_od,60,60,5,0.01,60.0,0.8565882222830168,56.0,4.0,1.0,4905.366666666667,6732290.22516381,1.1356240945792784,1.7504517249334484,343598.0
